,forecast,lower_ci_95,lower_ci_99,upper_ci_95,upper_ci_99
2029-12-01,436.1081673545614,422.32615309095706,422.32615309095706,449.8901816181657,449.8901816181657
2030-01-01,436.63650288455983,422.6899440034224,422.6899440034224,450.58306176569727,450.58306176569727
2030-02-01,437.0806399752066,422.97145530394107,422.97145530394107,451.1898246464722,451.1898246464722
2030-03-01,437.4465373700617,423.17658013288974,423.17658013288974,451.7164946072337,451.7164946072337
2030-04-01,437.49633069948004,423.0673921725628,423.0673921725628,451.9252692263973,451.9252692263973
2030-05-01,436.6484222123205,422.0622350999734,422.0622350999734,451.2346093246676,451.2346093246676
2030-06-01,434.94877320204125,420.2070147608247,420.2070147608247,449.6905316432578,449.6905316432578
2030-07-01,433.59066401882546,418.694958953293,418.694958953293,448.48636908435793,448.48636908435793
2030-08-01,433.80156471964506,418.75348787112966,418.75348787112966,448.84964156816045,448.84964156816045
2030-09-01,435.3394859845472,420.1146511767302,420.1146511767302,450.5643207923642,450.5643207923642
2030-10-01,436.84125759164294,421.43916485296853,421.43916485296853,452.24335033031736,452.24335033031736
2030-11-01,437.795109428073,422.217775685223,422.217775685223,453.37244317092296,453.37244317092296
2030-12-01,438.4861334865472,422.73550834525395,422.73550834525395,454.23675862784046,454.23675862784046
2031-01-01,439.01446901654566,423.0924384253508,423.0924384253508,454.93649960774053,454.93649960774053
2031-02-01,439.45860610719245,423.36699574799127,423.36699574799127,455.55021646639364,455.55021646639364
2031-03-01,439.82450350204755,423.5650819330692,423.5650819330692,456.0839250710259,456.0839250710259
2031-04-01,439.87429683146587,423.4487784054568,423.4487784054568,456.29981525747496,456.29981525747496
2031-05-01,439.0263883443063,422.4364359221753,422.4364359221753,455.61634076643736,455.61634076643736
2031-06-01,437.3267393340271,420.57396681202613,420.57396681202613,454.07951185602803,454.07951185602803
2031-07-01,435.9686301508113,419.05460481748815,419.05460481748815,452.88265548413443,452.88265548413443
2031-08-01,436.1795308516309,419.10577558936905,419.10577558936905,453.2532861138927,453.2532861138927
2031-09-01,437.717452116533,420.4605950063483,420.4605950063483,454.97430922671776,454.97430922671776
2031-10-01,439.2192237236288,421.77876756094287,421.77876756094287,456.6596798863147,456.6596798863147
2031-11-01,440.1730755600588,422.55093309656144,422.55093309656144,457.7952180235562,457.7952180235562
